term,count,classification,source,confidence,sample_context
Python,1,IT_TERM,dictionary,1.0,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
CSV,1,IT_TERM,ML,0.9999,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
document stamping,1,CLERICAL_TERM,dictionary,1.0,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
accounting office,1,CLERICAL_TERM,ML,0.0023,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
green folders,1,CLERICAL_TERM,ML,0.0299,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
student API,1,IT_TERM,ML,0.9999,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
Laravel,1,IT_TERM,dictionary,1.0,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
PHP,1,IT_TERM,dictionary,1.0,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
route model,1,IT_TERM,ML,0.9673,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
Spring Boot,1,IT_TERM,dictionary,1.0,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
JWT tokens,1,IT_TERM,ML,0.9999,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
Microsoft Excel,1,IT_TERM,dictionary,1.0,"Spent the whole morning building out the student API backend. We decided to write the endpoints using Laravel since the existing system had some PHP legacy code. It went pretty smoothly, although I got stuck on route model binding for about an hour before realizing I had a typo in my migration. In the afternoon, the team lead asked me to review how Spring Boot handles JWT tokens so we could compare performance with our microservices. Around 3:30 PM, I helped the administrative assistant compile the weekly staff attendance log into Microsoft Excel. My eyes were hurting a bit by the end of the day from staring at spreadsheets!"
Docker,1,IT_TERM,dictionary,1.0,"Thursday was container day! Our senior engineer told us that running services locally without containers was causing too many ""works on my machine"" headaches, so I spent the morning learning how to package our web service into a container with Docker. Once that was up and running, I wrote automated test scenarios using Postman to verify that all our CRUD endpoints returned status 200 and proper JSON payloads. Late in the afternoon, I walked over to the registrar's office to assist with student clearance forms and filing folders into alphabetical filing cabinets."
Postman,1,IT_TERM,dictionary,1.0,"Thursday was container day! Our senior engineer told us that running services locally without containers was causing too many ""works on my machine"" headaches, so I spent the morning learning how to package our web service into a container with Docker. Once that was up and running, I wrote automated test scenarios using Postman to verify that all our CRUD endpoints returned status 200 and proper JSON payloads. Late in the afternoon, I walked over to the registrar's office to assist with student clearance forms and filing folders into alphabetical filing cabinets."
status 200,1,CLERICAL_TERM,ML,0.9999,"Thursday was container day! Our senior engineer told us that running services locally without containers was causing too many ""works on my machine"" headaches, so I spent the morning learning how to package our web service into a container with Docker. Once that was up and running, I wrote automated test scenarios using Postman to verify that all our CRUD endpoints returned status 200 and proper JSON payloads. Late in the afternoon, I walked over to the registrar's office to assist with student clearance forms and filing folders into alphabetical filing cabinets."
JSON,1,IT_TERM,ML,0.9999,"Thursday was container day! Our senior engineer told us that running services locally without containers was causing too many ""works on my machine"" headaches, so I spent the morning learning how to package our web service into a container with Docker. Once that was up and running, I wrote automated test scenarios using Postman to verify that all our CRUD endpoints returned status 200 and proper JSON payloads. Late in the afternoon, I walked over to the registrar's office to assist with student clearance forms and filing folders into alphabetical filing cabinets."
DevOps,1,IT_TERM,dictionary,1.0,"End of week 1! First thing this morning, we held our weekly team sprint meeting in conference room B. Everyone shared what they completed during the week and what blockers they had. After the meeting, I worked with the DevOps lead to test our automated deployment setup using Jenkins and connected it to our AWS testing server. We also noticed that one of the database queries was taking almost two seconds to resolve, so we implemented Redis caching for the frequently accessed student records. That dropped the query time to under 50 milliseconds! Felt great to wrap up the week on a high note."
Jenkins,1,IT_TERM,dictionary,1.0,"End of week 1! First thing this morning, we held our weekly team sprint meeting in conference room B. Everyone shared what they completed during the week and what blockers they had. After the meeting, I worked with the DevOps lead to test our automated deployment setup using Jenkins and connected it to our AWS testing server. We also noticed that one of the database queries was taking almost two seconds to resolve, so we implemented Redis caching for the frequently accessed student records. That dropped the query time to under 50 milliseconds! Felt great to wrap up the week on a high note."
AWS,1,IT_TERM,dictionary,1.0,"End of week 1! First thing this morning, we held our weekly team sprint meeting in conference room B. Everyone shared what they completed during the week and what blockers they had. After the meeting, I worked with the DevOps lead to test our automated deployment setup using Jenkins and connected it to our AWS testing server. We also noticed that one of the database queries was taking almost two seconds to resolve, so we implemented Redis caching for the frequently accessed student records. That dropped the query time to under 50 milliseconds! Felt great to wrap up the week on a high note."
database queries,1,IT_TERM,dictionary,1.0,"End of week 1! First thing this morning, we held our weekly team sprint meeting in conference room B. Everyone shared what they completed during the week and what blockers they had. After the meeting, I worked with the DevOps lead to test our automated deployment setup using Jenkins and connected it to our AWS testing server. We also noticed that one of the database queries was taking almost two seconds to resolve, so we implemented Redis caching for the frequently accessed student records. That dropped the query time to under 50 milliseconds! Felt great to wrap up the week on a high note."
Redis,1,IT_TERM,ML,0.9999,"End of week 1! First thing this morning, we held our weekly team sprint meeting in conference room B. Everyone shared what they completed during the week and what blockers they had. After the meeting, I worked with the DevOps lead to test our automated deployment setup using Jenkins and connected it to our AWS testing server. We also noticed that one of the database queries was taking almost two seconds to resolve, so we implemented Redis caching for the frequently accessed student records. That dropped the query time to under 50 milliseconds! Felt great to wrap up the week on a high note."
Figma,1,IT_TERM,dictionary,1.0,"Starting week 2. Today was all about the frontend redesign. Before jumping into code, I opened Figma to review the UI wireframes and interactive mockups that the design team made last week. After getting approval on the layout, I started writing React components with TypeScript. Having type checking definitely caught a couple of null pointer errors early on. Before logging out, I helped our supervisor conduct an inventory counting of spare monitors, keyboards, and mice in the storage closet."
React,1,IT_TERM,dictionary,1.0,"Starting week 2. Today was all about the frontend redesign. Before jumping into code, I opened Figma to review the UI wireframes and interactive mockups that the design team made last week. After getting approval on the layout, I started writing React components with TypeScript. Having type checking definitely caught a couple of null pointer errors early on. Before logging out, I helped our supervisor conduct an inventory counting of spare monitors, keyboards, and mice in the storage closet."
TypeScript,1,IT_TERM,dictionary,1.0,"Starting week 2. Today was all about the frontend redesign. Before jumping into code, I opened Figma to review the UI wireframes and interactive mockups that the design team made last week. After getting approval on the layout, I started writing React components with TypeScript. Having type checking definitely caught a couple of null pointer errors early on. Before logging out, I helped our supervisor conduct an inventory counting of spare monitors, keyboards, and mice in the storage closet."
inventory counting,1,CLERICAL_TERM,dictionary,1.0,"Starting week 2. Today was all about the frontend redesign. Before jumping into code, I opened Figma to review the UI wireframes and interactive mockups that the design team made last week. After getting approval on the layout, I started writing React components with TypeScript. Having type checking definitely caught a couple of null pointer errors early on. Before logging out, I helped our supervisor conduct an inventory counting of spare monitors, keyboards, and mice in the storage closet."
GraphQL,1,IT_TERM,dictionary,1.0,"Continued working on the frontend interface today. The backend team exposed some new endpoints, so I hooked them up using GraphQL instead of traditional REST calls to avoid over-fetching data. For the UI styling, we used Tailwind CSS, which made responsive layout adjustments on mobile screens super fast. Around 3 PM, the department secretary asked for assistance in printing, compiling, and distributing copies of an urgent department memorandum across different office desks."
REST,1,IT_TERM,ML,0.9984,"Continued working on the frontend interface today. The backend team exposed some new endpoints, so I hooked them up using GraphQL instead of traditional REST calls to avoid over-fetching data. For the UI styling, we used Tailwind CSS, which made responsive layout adjustments on mobile screens super fast. Around 3 PM, the department secretary asked for assistance in printing, compiling, and distributing copies of an urgent department memorandum across different office desks."
Tailwind CSS,1,IT_TERM,ML,0.9999,"Continued working on the frontend interface today. The backend team exposed some new endpoints, so I hooked them up using GraphQL instead of traditional REST calls to avoid over-fetching data. For the UI styling, we used Tailwind CSS, which made responsive layout adjustments on mobile screens super fast. Around 3 PM, the department secretary asked for assistance in printing, compiling, and distributing copies of an urgent department memorandum across different office desks."
mobile screens,1,IT_TERM,ML,0.9781,"Continued working on the frontend interface today. The backend team exposed some new endpoints, so I hooked them up using GraphQL instead of traditional REST calls to avoid over-fetching data. For the UI styling, we used Tailwind CSS, which made responsive layout adjustments on mobile screens super fast. Around 3 PM, the department secretary asked for assistance in printing, compiling, and distributing copies of an urgent department memorandum across different office desks."
Kubernetes,1,IT_TERM,dictionary,1.0,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
Node.js,1,IT_TERM,dictionary,1.0,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
RabbitMQ,1,IT_TERM,ML,0.9999,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
scholarship,1,IT_TERM,ML,0.9999,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
university,1,IT_TERM,ML,0.9999,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
Linux,1,IT_TERM,dictionary,1.0,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
SSH,1,IT_TERM,ML,0.9249,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
DNS,1,IT_TERM,ML,0.9965,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
Bash,1,IT_TERM,ML,0.9961,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
cron,1,IT_TERM,ML,0.9927,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
document routing,1,CLERICAL_TERM,dictionary,1.0,"Came in early today because our staging server had an intermittent connection issue. I remoted into the Linux server via SSH, checked the firewall iptables, and analyzed system logs until we figured out a DNS resolution conflict. Once that was fixed, I created an automated Bash script to run nightly database backups and set it up via cron. After lunch, I helped organize outgoing envelopes and handled physical document routing for the department director."
Nginx,1,IT_TERM,ML,0.9999,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
gzip,1,IT_TERM,ML,0.9999,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
HTTP/2,1,IT_TERM,ML,0.9999,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
SonarQube,1,IT_TERM,ML,0.9999,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
code,1,IT_TERM,ML,0.6096,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
inventory analysis,1,CLERICAL_TERM,dictionary,1.0,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
university accreditation,1,IT_TERM,ML,0.9999,"Finished up week 2! Today we focused on optimizing web server performance. I tuned the Nginx reverse proxy configuration to enable gzip compression and HTTP/2. Afterwards, we ran static code analysis using SonarQube to catch code smells and security vulnerabilities. To end my internship week, I spent the last hour helping the office staff finish their department inventory analysis report and organized the files for the upcoming university accreditation inspection."
