term,label
Client Records,CLERICAL_TERM
Client Payments,CLERICAL_TERM
Inventory Records,CLERICAL_TERM
Stock Records,CLERICAL_TERM
Medicine Stocks,CLERICAL_TERM
Medicine Distribution,CLERICAL_TERM
Medicine Labeling,CLERICAL_TERM
Stock Transfer,CLERICAL_TERM
Transfer Slips,CLERICAL_TERM
Document Stamping,CLERICAL_TERM
Certificate Distribution,CLERICAL_TERM
Certificate Release,CLERICAL_TERM
ID Release,CLERICAL_TERM
ID Distribution,CLERICAL_TERM
Form Distribution,CLERICAL_TERM
Flyer Distribution,CLERICAL_TERM
Promotional Materials,CLERICAL_TERM
Office Documentation,CLERICAL_TERM
Office Coordination,CLERICAL_TERM
Resource Management,CLERICAL_TERM
Workplace Organization,CLERICAL_TERM
Workspace Organization,CLERICAL_TERM
Meeting Materials,CLERICAL_TERM
Meeting Proceedings,CLERICAL_TERM
Student Enrollment,CLERICAL_TERM
Scholarship Records,CLERICAL_TERM
Police Clearance,CLERICAL_TERM
Audit Preparation,CLERICAL_TERM
Clearance Forms,CLERICAL_TERM
Exit Clearance Forms,CLERICAL_TERM
Public Notices,CLERICAL_TERM
Report Preparation,CLERICAL_TERM
Activity Documentation,CLERICAL_TERM
Photo Documentation,CLERICAL_TERM
Attendance Records,CLERICAL_TERM
Event Coordination,CLERICAL_TERM
Event Preparation,CLERICAL_TERM
Field Activity,CLERICAL_TERM
Community Coordination,CLERICAL_TERM
Barangay Coordination,CLERICAL_TERM
Client Assistance,CLERICAL_TERM
Customer Service,CLERICAL_TERM
Nutrition Counseling,CLERICAL_TERM
Health Records,CLERICAL_TERM
Medical Inventory,CLERICAL_TERM
Medicine Dispensing,CLERICAL_TERM
Medicine Refill,CLERICAL_TERM
Patient Assistance,CLERICAL_TERM
Client Satisfaction Survey,CLERICAL_TERM
Inventory Counting,CLERICAL_TERM
Inventory Organization,CLERICAL_TERM
Community Outreach,CLERICAL_TERM
Certificate Recognition,CLERICAL_TERM
Awarding Ceremony,CLERICAL_TERM
Charter Day,CLERICAL_TERM
BNS Meeting,CLERICAL_TERM
BNS Activities,CLERICAL_TERM
OPT Plus,CLERICAL_TERM
Nutrition Activities,CLERICAL_TERM
Training Activities,CLERICAL_TERM
Presentation Materials,CLERICAL_TERM
Research Activities,CLERICAL_TERM
Task Alignment,CLERICAL_TERM
Team Coordination,CLERICAL_TERM
Team Task Division,CLERICAL_TERM
Meeting Transcription,CLERICAL_TERM
Materials Preparation,CLERICAL_TERM
Material Distribution,CLERICAL_TERM
Inventory Analysis,CLERICAL_TERM
GraphQL,IT_TERM
Photocopying,CLERICAL_TERM
General Cleaning,CLERICAL_TERM
